"Product's Name","Title of Page","URL"
"Espuma de Limpeza para a Pele Acneica Clinique Anti-Blemish Cleansing Foam - 125ml","Espuma de Limpeza Clinique Anti-Blemish Cleansing Foam - Época Cosméticos","https://www.epocacosmeticos.com.br/anti-blemish-cleansing-foam-clinique-espuma-de-limpeza-para-a-pele-acneica/p"
"Blend de Óleos Relaxante By Samia - 15ml","Blend de Óleos Relaxante By Samia - Época Cosméticos","https://www.epocacosmeticos.com.br/blend-de-oleos-relaxante-by-samia/p"
"Olympéa Intense Paco Rabanne - Perfume Feminino - Eau de Parfum","Perfume Olympéa Intense Paco Rabanne Feminino EDP - Época Cosméticos","https://www.epocacosmeticos.com.br/olympea-intense-paco-rabanne-perfume-femininp-eau-de-parfum/p"
"Deva Curl Finalizador Mist-er Right - Ativador de Cachos - 120ml","Ativador de Cachos Deva Curl Finalizador Mist-er Right - Época Cosméticos","https://www.epocacosmeticos.com.br/finalizador-mist-er-right-deva-curl-ativador-de-cachos/p"
"Água Micelar Vult - Demaquilante - 180ml","Água Micelar Vult - Demaquilante - Época Cosméticos","https://www.epocacosmeticos.com.br/agua-micelar-vult-demaquilante/p"
"Crazy Florever - Agatha Ruiz de La Prada Perfume Feminino Eau de Toilette","Perfume Crazy Florever - Agatha Ruiz de La Prada - Época Cosméticos","https://www.epocacosmeticos.com.br/crazy-florever-agatha-ruiz-de-la-prada-perfume-feminino-eau-de-toilette/p"
"Tommy Cologne Tommy Hilfiger - Perfume Masculino - Eau de Toilette","Perfume Tommy Cologne Tommy Hilfiger Masculino - Época Cosméticos","https://www.epocacosmeticos.com.br/tommy-cologne-eau-de-toilette-tommy-hilfiger-perfume-masculino/p"
"L’Oréal Professionnel Inforcer - Condicionador Anti-quebra - 200ml","Condicionador - L’Oréal Professionnel Inforcer - Época Cosméticos","https://www.epocacosmeticos.com.br/loreal-professionnel-inforcer-condicionador-anti-quebra-2018/p"
"SkinCeuticals Phloretin CF SkinCeuticals - Rejuvenescedor Facial - 30ml","Phloretin CF SkinCeuticals - Rejuvenescedor Facial - Época Cosméticos","https://www.epocacosmeticos.com.br/skin-ceuticals-phloretin-cf-skinceuticals-rejuvenescedor-facial/p"
"Moisture Cream Complex 60ml - Premier Cosméticos","Moisture Cream Complex - Época Cosméticos","https://www.epocacosmeticos.com.br/moisture-cream-complex-25460/p"
"Meias Esfoliantes Footner - Exfolianting Socks - 1 Par","Meias Esfoliantes Footner Exfolianting Socks Copy - Época Cosméticos","https://www.epocacosmeticos.com.br/exfolianting-socks-footner-meias-esfoliantes-copy-19322-/p"
"Máscara Matificante Dior Hydra Life - Mask Pores Away - 50ml","Máscara Matificante Dior Hydra Life - Mask Pores Away - Época Cosméticos","https://www.epocacosmeticos.com.br/mascara-matificante-dior-hydra-life-mask-pores-away/p"
"My Burberry Burberry - Perfume Feminino - Eau de Parfum","Perfume My Burberry Burberry Feminino EDP - Época Cosméticos","https://www.epocacosmeticos.com.br/my-burberry-eau-de-parfum-burberry-perfume-feminino/p"
"Joico K-Pak Reconstrução Kit - Shampoo + Máscara","Kit Joico K-Pak Reconstrução  - Shampoo + Máscara - Época Cosméticos","https://www.epocacosmeticos.com.br/joico-k-pak-kit-shampoo-mascara/p"
"Máscara Facial Océane - Pérolas - 1 Un","Máscara Facial Océane - Pérolas - Época Cosméticos","https://www.epocacosmeticos.com.br/mascara-facial-oceane-perolas/p"
